"name","value","created_at"
market_cap_dominance,0.1276,2024-09-23 09:00:03.000
market_cap,2832646503.0173,2024-09-23 09:00:03.000
circulating_supply,29595286114.348,2024-09-23 09:00:03.000
rank,35.0,2024-09-23 09:00:03.000
price_usd,0.09589,2024-09-23 09:10:01.000
volume_24h,49501754.2839,2024-09-23 09:10:01.000
market_cap_dominance,0.1276,2024-09-23 09:10:01.000
market_cap,2837767062.008,2024-09-23 09:10:01.000
circulating_supply,29595285951.85,2024-09-23 09:10:01.000
rank,35.0,2024-09-23 09:10:01.000
price_usd,0.09596,2024-09-23 09:20:01.000
volume_24h,49225948.0552,2024-09-23 09:20:01.000
market_cap_dominance,0.1277,2024-09-23 09:20:01.000
market_cap,2839944984.4776,2024-09-23 09:20:01.000
circulating_supply,29595285951.85,2024-09-23 09:20:01.000
rank,34.0,2024-09-23 09:20:01.000
price_usd,0.09623,2024-09-23 09:30:00.000
volume_24h,49189032.0467,2024-09-23 09:30:01.000
market_cap_dominance,0.1278,2024-09-23 09:30:01.000
market_cap,2847876903.2135,2024-09-23 09:30:01.000
circulating_supply,29595285951.85,2024-09-23 09:30:01.000
rank,34.0,2024-09-23 09:30:01.000
price_usd,0.09632,2024-09-23 09:40:01.000
volume_24h,49153166.9233,2024-09-23 09:40:01.000
market_cap_dominance,0.128,2024-09-23 09:40:01.000
market_cap,2850557430.9661,2024-09-23 09:40:01.000
circulating_supply,29595285949.016,2024-09-23 09:40:01.000
rank,34.0,2024-09-23 09:40:01.000
price_usd,0.09635,2024-09-23 09:50:00.000
volume_24h,49107780.6481,2024-09-23 09:50:00.000
market_cap_dominance,0.128,2024-09-23 09:50:00.000
market_cap,2851501554.8064,2024-09-23 09:50:00.000
circulating_supply,29595285949.016,2024-09-23 09:50:00.000
rank,34.0,2024-09-23 09:50:00.000
price_usd,0.09619,2024-09-23 10:00:06.000
volume_24h,49077340.0146,2024-09-23 10:00:06.000
market_cap_dominance,0.1278,2024-09-23 10:00:06.000
market_cap,2846877051.5831,2024-09-23 10:00:06.000
circulating_supply,29595285949.016,2024-09-23 10:00:06.000
rank,34.0,2024-09-23 10:00:06.000
price_usd,0.09617,2024-09-23 10:10:01.000
volume_24h,48683119.7194,2024-09-23 10:10:01.000
market_cap_dominance,0.1277,2024-09-23 10:10:01.000
market_cap,2846221839.1444,2024-09-23 10:10:01.000
circulating_supply,29595285949.016,2024-09-23 10:10:01.000
rank,34.0,2024-09-23 10:10:01.000
price_usd,0.09585,2024-09-23 10:20:00.000
volume_24h,48860184.4412,2024-09-23 10:20:00.000
market_cap_dominance,0.1276,2024-09-23 10:20:00.000
market_cap,2836838764.3967,2024-09-23 10:20:00.000
circulating_supply,29595285949.016,2024-09-23 10:20:00.000
rank,34.0,2024-09-23 10:20:00.000
price_usd,0.09595,2024-09-23 10:30:00.000
volume_24h,48999331.6738,2024-09-23 10:30:00.000
market_cap_dominance,0.1276,2024-09-23 10:30:00.000
market_cap,2839544741.8968,2024-09-23 10:30:00.000
circulating_supply,29595285924.954,2024-09-23 10:30:00.000
rank,34.0,2024-09-23 10:30:00.000
price_usd,0.09605,2024-09-23 10:40:00.000
volume_24h,49049976.8586,2024-09-23 10:40:00.000
market_cap_dominance,0.1277,2024-09-23 10:40:00.000
market_cap,2842645885.3075,2024-09-23 10:40:00.000
circulating_supply,29595285922.632,2024-09-23 10:40:00.000
rank,34.0,2024-09-23 10:40:00.000
price_usd,0.09608,2024-09-23 10:50:05.000
volume_24h,48678517.6062,2024-09-23 10:50:05.000
market_cap_dominance,0.1278,2024-09-23 10:50:05.000
market_cap,2843476161.5125,2024-09-23 10:50:05.000
circulating_supply,29595285922.632,2024-09-23 10:50:05.000
rank,34.0,2024-09-23 10:50:05.000
price_usd,0.09615,2024-09-23 11:00:22.000
volume_24h,48562904.1267,2024-09-23 11:00:22.000
market_cap_dominance,0.1278,2024-09-23 11:00:22.000
market_cap,2845496855.4139,2024-09-23 11:00:22.000
circulating_supply,29595285922.632,2024-09-23 11:00:22.000
rank,34.0,2024-09-23 11:00:22.000
price_usd,0.09602,2024-09-23 11:10:01.000
volume_24h,48219914.3512,2024-09-23 11:10:01.000
market_cap_dominance,0.1278,2024-09-23 11:10:01.000
market_cap,2841722875.8469,2024-09-23 11:10:01.000
circulating_supply,29595285900.608,2024-09-23 11:10:01.000
rank,34.0,2024-09-23 11:10:01.000
price_usd,0.09582,2024-09-23 11:20:05.000
volume_24h,48358241.9638,2024-09-23 11:20:05.000
market_cap_dominance,0.1278,2024-09-23 11:20:05.000
market_cap,2835950310.1734,2024-09-23 11:20:05.000
circulating_supply,29595285900.608,2024-09-23 11:20:05.000
rank,34.0,2024-09-23 11:20:05.000
price_usd,0.09594,2024-09-23 11:30:03.000
volume_24h,48401591.7676,2024-09-23 11:30:03.000
market_cap_dominance,0.1278,2024-09-23 11:30:03.000
market_cap,2839326292.267,2024-09-23 11:30:03.000
circulating_supply,29595285900.608,2024-09-23 11:30:03.000
rank,34.0,2024-09-23 11:30:03.000
price_usd,0.09596,2024-09-23 11:40:01.000
volume_24h,48327871.9268,2024-09-23 11:40:01.000
market_cap_dominance,0.1279,2024-09-23 11:40:01.000
market_cap,2840055327.4025,2024-09-23 11:40:01.000
circulating_supply,29595285893.348,2024-09-23 11:40:01.000
rank,34.0,2024-09-23 11:40:01.000
price_usd,0.09608,2024-09-23 11:50:01.000
volume_24h,48273628.9673,2024-09-23 11:50:01.000
market_cap_dominance,0.1278,2024-09-23 11:50:01.000
market_cap,2843564029.0533,2024-09-23 11:50:01.000
circulating_supply,29595285893.348,2024-09-23 11:50:01.000
rank,34.0,2024-09-23 11:50:01.000
price_usd,0.09599,2024-09-23 12:00:13.000
volume_24h,48349386.4125,2024-09-23 12:00:13.000
market_cap_dominance,0.1278,2024-09-23 12:00:13.000
market_cap,2840841236.2169,2024-09-23 12:00:13.000
circulating_supply,29595285893.348,2024-09-23 12:00:13.000
rank,34.0,2024-09-23 12:00:13.000
price_usd,0.09611,2024-09-23 12:10:01.000
volume_24h,48208087.0239,2024-09-23 12:10:01.000
market_cap_dominance,0.128,2024-09-23 12:10:01.000
market_cap,2844285462.6352,2024-09-23 12:10:01.000
circulating_supply,29595285878.887,2024-09-23 12:10:01.000
rank,34.0,2024-09-23 12:10:01.000
price_usd,0.09597,2024-09-23 12:20:02.000
volume_24h,48248991.5133,2024-09-23 12:20:02.000
market_cap_dominance,0.128,2024-09-23 12:20:02.000
market_cap,2840307147.647,2024-09-23 12:20:02.000
circulating_supply,29595285878.887,2024-09-23 12:20:02.000
rank,34.0,2024-09-23 12:20:02.000
price_usd,0.0961,2024-09-23 12:30:01.000
volume_24h,48395027.4057,2024-09-23 12:30:01.000
market_cap_dominance,0.1279,2024-09-23 12:30:01.000
market_cap,2844003696.8565,2024-09-23 12:30:01.000
circulating_supply,29595285878.887,2024-09-23 12:30:01.000
rank,34.0,2024-09-23 12:30:01.000
price_usd,0.09622,2024-09-23 12:40:01.000
volume_24h,48535333.9719,2024-09-23 12:40:01.000
market_cap_dominance,0.1281,2024-09-23 12:40:01.000
market_cap,2847649120.6272,2024-09-23 12:40:01.000
circulating_supply,29595285868.044,2024-09-23 12:40:01.000
rank,34.0,2024-09-23 12:40:01.000
price_usd,0.09607,2024-09-23 12:50:01.000
volume_24h,48572854.2654,2024-09-23 12:50:01.000
market_cap_dominance,0.1281,2024-09-23 12:50:01.000
market_cap,2843090236.8066,2024-09-23 12:50:01.000
